id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
33241,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Arrow Men Blue Striped Shirt
22573,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Highlander Men Check Red Shirt
11701,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Lee Men Check White Shirts
26088,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Formal,John Miller Men Striped Purple Shirt
20177,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Wrangler Men Tiny Maroon Shirt
9519,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,John Miller Men white pink black check Maroon Shirts
26516,Men,Apparel,Topwear,Shirts,Navy Blue,Spring,2012.0,Casual,Arrow Sport Men Navy Blue Check Shirt
16037,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Highlander Men Check Green Shirt
33967,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Femella Women Black Top
13867,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts
13735,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Belmonte Men Stripes Green Shirts
16340,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,Peter England Men Stripes Maroon Shirt
6784,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Timberland Men Pelham Plaid Blue Shirt
16387,Men,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Formal,Peter England Men Stripes Orange Shirt
26059,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,John Miller Men Gingham Black Shirt
29291,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Men Striped Green Shirt
16399,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Levis Men White Striped Shirt
10476,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Flying Machine Men Ydc Pink Shirts
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt
31639,Men,Apparel,Topwear,Shirts,Maroon,Summer,2012.0,Casual,Indigo Nation Men Check Maroon Shirt
41660,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Blue Striped Shirt
9664,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Indigo Nation Men Bling Maroon Shirt
32762,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Check Blue Shirt
26958,Women,Apparel,Topwear,Shirts,Teal,Summer,2012.0,Casual,Jealous 21 Women Teal Shirt
43485,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,French Connection Men Navy Blue Shirt
23037,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Arrow Men Black Striped Shirt
31097,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Blue Shirt
9634,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Price catch Black White Shirts
9064,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
31653,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Indigo Nation Men White Shirt
7164,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Black & Red Check Shirt
14623,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Check Grey Shirts
16406,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Levis Men Check Maroon Shirts
22576,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Highlander Men Purple Check Shirt
19825,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Green Shirt
8798,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Red Check Shirt
4974,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Infant Kidswear
2162,Men,Apparel,Topwear,Shirts,Blue,Spring,2011.0,Casual,Probase Men Blue Slim Fit Solid Casual Shirt
29184,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,United Colors of Benetton Men Blue Shirt
9072,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Mark Taylor Men Solid White Shirts
59874,Women,Apparel,Topwear,Shirts,Green,Fall,2012.0,Casual,Femella Women Green Check Shirt
51426,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Myntra Men Red Check Shirt
27887,Women,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Scullers For Her White Check Shirt
39771,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Peter England Men Multi Coloured Casual Shirt
12328,Men,Apparel,Topwear,Shirts,Blue,Winter,2011.0,Formal,Genesis Blue Formal Shirt
27871,Women,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Scullers For Her Striped White Shirt
6059,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,UCB Men Linen Small Checks Green Shirt
5987,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Highlander Men Black Striped Slim Fit Shirt
11050,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts
10792,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Wrangler Men Authentic Rope Embro Red Shirts
11693,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Lee Men Check Red Shirts
41653,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Blue Striped Shirt
9618,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Checks Blue Shirts
22384,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Black & Blue Striped White Shirt
5975,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Locomotive Men Black Maroon Purple Stripe Shirt
6320,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,UCB Men Small Checks Yellow Shirt
11459,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,United Colors of Benetton Men Light Winters Blue Shirts
34038,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Check Red Shirt
22356,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,John Players Men Solid White Shirt
11404,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Shirts
9658,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Maroon Shirt
8720,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Stripes Green Shirts
19180,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Check White Shirt
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear
12327,Men,Apparel,Topwear,Shirts,Pink,Winter,2011.0,Formal,Genesis Pink Striped Formal Shirt
13321,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Gini and Jony Kids Boys Stripes Pink Shirts
9712,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Scul White Shirts
17165,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,U.S. Polo Assn. Men Maroon & White Check Shirt
20129,Women,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Wrangler Women Belted Purple Shirt
31100,Boys,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Navy Blue Shirt
19735,Women,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,United Colors of Benetton Women White Shirt
14663,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Basics Men Navy Blue Slim Fit Checked Shirt
39697,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Spykar Men Ranger Navy Blue Shirt
6015,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Highlander Men Small Black Checked Shirt
9254,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Mark Taylor Men Solid White Shirts
39780,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Casual,Peter England Men Yellow Casual Shirts
11468,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Summer Navy Blue Shirt
9498,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Formal,John Miller Men Pink white black check Pink Shirts
12012,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirts
10255,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Locomotive Men Stripes Blue Shirts
20158,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Wrangler Men Festa Blue Shirt
13417,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Shirts
17563,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Mark Taylor Men Green & Pink Striped Shirt
43030,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Scullers Men Navy Blue Shirt
26411,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Turtle Men Check Red Shirt
12304,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,Genesis Men Stripes Red Shirts
27892,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Scullers For Her Black Striped Shirt
20283,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Basics Men White Checked Shirt
51400,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Formal,Myntra Men Yellow Shirt
32395,Women,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Arrow Woman Grey Shirt
8826,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Spykar Men Ranger White Mustard Stripe Shirts
9565,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,John Miller Men Striped Blue Shirt
10795,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Warnick Square Block Navy Blue Shirts
40671,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Lee Women Pink & Navy Blue Check Shirt
36590,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Provogue Men Eternity Red Shirt
10818,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Wrangler Men Urban Raiser Red Shirts
40129,Boys,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony BoysCore Navy Blue Shirt
27148,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Mark Taylor Men Striped Grey Shirt
5147,Women,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Wrangler Women Ditsy Polka Red Shirt
37723,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Stripes Blue Shirt
41990,Boys,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Check Black Shirt
8895,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Indigo Nation Men Bling Black Shirts
27561,Men,Apparel,Topwear,Shirts,Lavender,Summer,2012.0,Casual,Scullers Men Striped Lavender Shirt
41606,Men,Apparel,Topwear,Shirts,Beige,Summer,2012.0,Casual,Basics Men Beige Shirt
11045,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Check White Shirts
27534,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Scullers Men Check Blue Shirt
2101,Men,Apparel,Topwear,Shirts,Blue,Winter,2010.0,Casual,Lee Men Check Mason Blue Shirt
33246,Men,Apparel,Topwear,Shirts,Lavender,Spring,2013.0,Formal,Arrow Men Lavender Unstainable Slim Fit Shirt
57295,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,French Connection Men Blue Shirt
37746,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Check Blue Shirt
9260,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
6789,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Timberland Men Meriden White Check Shirt
13283,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Gini and Jony Kids Boys Check Blue Shirts
51410,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Myntra Men White and Navy Blue Check Shirt
9157,Women,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Jealous 21 Women Checks Pink Shirt
