image1,image2,label
13867,7441,0
9144,26715,0
51660,5975,0
32378,19735,0
54679,21524,0
21521,9254,0
33226,24911,0
27672,51356,0
46893,45925,0
58809,7187,0
27018,44688,0
12849,32768,0
14117,22893,0
39227,8752,0
33734,19260,0
10374,7164,0
15067,43919,0
2984,57507,0
39823,13232,0
43498,58002,0
29738,41352,0
42217,27021,0
33430,31099,0
43194,25908,0
11315,54491,0
41458,4359,0
41660,46281,0
30412,23297,0
31352,38446,0
29158,54834,0
53296,48485,0
54627,11243,0
58734,43586,0
30002,51465,0
20283,15000,0
49631,47118,0
51584,33649,0
41348,57241,0
40923,31046,0
29507,57230,0
57047,41355,0
26057,8752,0
20512,51627,0
53586,18756,0
47217,39028,0
15890,59256,0
57075,28430,0
59262,4843,0
11918,29988,0
7709,9556,0
27038,31236,0
20399,23451,0
51918,46500,0
2663,45885,0
4704,51370,0
47361,17165,0
31620,32560,0
43189,14197,0
9420,2802,0
51354,53897,0
7012,22384,0
51635,38838,0
12884,45192,0
17976,42256,0
18488,29937,0
2307,7193,0
10609,41571,0
51517,40923,0
53609,11318,0
43194,11045,0
39234,26958,0
4371,29411,0
4190,8234,0
43509,30000,0
43194,12866,0
42256,22384,0
59236,46277,0
9611,37197,0
39815,50194,0
47298,45146,0
24625,24848,0
2224,59980,0
29456,27737,0
26974,8826,0
58173,18226,0
42216,19699,0
49559,39286,0
10488,6129,0
39067,38462,0
9231,25276,0
29754,43637,0
35176,11243,0
20611,29167,0
33246,7817,0
11235,59311,0
7441,41864,0
2847,58493,0
18033,10705,0
54040,41880,0
32582,33688,0
19762,52754,0
29157,38836,0
14798,14663,0
51625,2805,0
52622,52124,0
41346,23186,0
54834,52131,0
22611,33226,0
50720,15475,0
44585,39697,0
20512,31126,0
35537,34559,0
27018,10810,0
48525,11320,0
41565,11459,0
25242,11406,0
39737,12371,0
13755,10702,0
11233,2154,0
9961,10702,0
35555,17266,0
13867,29507,0
32336,24476,0
10377,35165,0
9984,37480,0
4313,27025,0
25645,40974,0
43189,2820,0
9256,40933,0
41880,23451,0
45145,16913,0
36590,25272,0
8789,7012,0
31643,37209,0
2343,47232,0
58560,15693,0
14727,40352,0
27931,3110,0
23289,29166,0
11942,8895,0
48028,20148,0
51627,24199,0
10795,44944,0
15868,39067,0
15660,46393,0
37435,36769,0
47418,35643,0
40160,48472,0
24789,20154,0
10810,40430,0
40552,38835,0
47675,43291,0
8826,7330,0
42854,33226,0
50949,11944,0
33935,26088,0
6724,40999,0
42854,16506,0
59980,18670,0
47493,14128,0
23621,6130,0
39821,48086,0
39697,17426,0
2672,41606,0
54662,58269,0
57236,10105,0
17047,2663,0
6572,10406,0
2704,6996,0
2697,51506,0
43181,43680,0
20602,4972,0
13350,48483,0
13350,9485,0
27021,10016,0
2054,52659,0
34095,26516,0
6320,43161,0
41786,9712,0
59991,31813,0
8340,2821,0
12292,44553,0
41359,15651,0
24050,34064,0
38501,9485,0
25661,48478,0
2663,9616,0
11315,6824,0
13417,35166,0
39818,5097,0
29157,36038,0
59972,2047,0
40552,8826,0
9174,54627,0
2821,31126,0
11045,29509,0
46895,35562,0
10690,46739,0
38842,32318,0
16162,45885,0
45926,2661,0
28442,35699,0
12311,16117,0
48187,51563,0
21976,42258,0
10186,14101,0
48383,53997,0
29509,32560,0
24068,3845,0
13232,8752,0
33415,41141,0
16340,24275,0
54659,38422,0
53609,47493,0
6572,48467,0
48500,31148,0
46216,15674,0
54409,46893,0
40547,50734,0
38787,27887,0
27931,9974,0
31148,10701,0
38444,22398,0
37079,4974,0
11241,2710,0
34871,29158,0
34015,11918,0
48383,10822,0
31821,47096,0
27561,51364,0
10406,40129,0
9141,51918,0
49067,22890,0
57999,7966,0
15439,15562,0
33493,3778,0
39217,36693,0
3792,40160,0
31273,45885,0
37532,45264,0
10488,9157,0
9667,3577,0
51660,48086,0
32576,13904,0
21521,4843,0
51654,52623,0
51517,37205,0
16399,43509,0
23289,11058,0
26355,29277,0
42217,9064,0
42263,40306,0
58001,26543,0
27223,20398,0
37418,37198,0
16522,11045,0
57986,26367,0
16506,11778,0
32355,38444,0
18895,43161,0
8519,24199,0
10792,43511,0
49885,12304,0
2154,57043,0
35647,41141,0
47175,7164,0
57047,46894,0
48028,50946,0
39067,50942,0
40560,26246,0
23037,16969,0
38422,27561,0
19110,45113,0
37435,28439,0
53679,36900,0
10255,42394,0
18185,7837,0
53804,12965,0
4402,26343,0
33876,27668,0
26958,8275,0
11179,47361,0
13122,43637,0
10701,18493,0
26343,2802,0
41774,36676,0
35555,28442,0
9173,21484,0
9902,15933,0
58425,33967,0
58267,50951,0
45925,41355,0
41876,10811,0
46914,39818,0
41660,46894,0
25907,43161,0
18180,31097,0
34559,22384,0
15660,44824,0
39285,43586,0
59897,32508,0
24476,16778,0
56682,19465,0
51448,29979,0
2211,37955,0
19789,37200,0
39821,59974,0
5296,34399,0
12387,58501,0
20158,59238,0
56676,13351,0
16765,51426,0
44535,15436,0
7006,31620,0
11308,53684,0
15067,13429,0
41961,59991,0
46342,52128,0
4983,45189,0
38996,16760,0
26546,27931,0
56324,47139,0
47138,10445,0
26088,41359,0
19180,9212,0
49067,38998,0
27678,46458,0
36038,50736,0
4315,50942,0
8798,11941,0
34762,3082,0
5851,43646,0
37155,11943,0
42837,27887,0
41962,3583,0
48473,24789,0
16778,27025,0
37480,6272,0
20387,4628,0
9658,15436,0
18033,41784,0
36687,24199,0
12241,44585,0
32560,14101,0
3529,24194,0
51641,34586,0
9634,41348,0
11468,39818,0
17455,6407,0
4628,33057,0
34871,57070,0
51641,38444,0
4082,18670,0
48473,41752,0
30043,26430,0
37472,10202,0
16771,38494,0
2663,57050,0
12357,34064,0
15670,8234,0
9003,16320,0
48085,58172,0
58562,51562,0
41774,37984,0
41873,7127,0
56846,16771,0
43204,34592,0
29447,19110,0
31130,49067,0
2233,14197,0
6893,29920,0
16512,51627,0
38843,45578,0
11963,42209,0
6512,23260,0
9778,16781,0
44426,2615,0
53296,20146,0
54829,6870,0
26974,24476,0
10255,8520,0
30000,43957,0
51532,4361,0
58562,59874,0
30096,27445,0
18488,59966,0
44532,23627,0
25659,57057,0
11459,54940,0
23260,33199,0
27379,27868,0
38836,41661,0
6868,50776,0
27196,49962,0
10360,4974,0
44688,2047,0
53211,39386,0
14663,36901,0
18193,45199,0
51404,18180,0
29507,43515,0
25162,30043,0
31102,33876,0
42834,34592,0
57042,52622,0
29277,18185,0
10822,29447,0
44834,11946,0
37435,23298,0
11963,48478,0
40129,45113,0
24204,16320,0
51476,9462,0
37143,44813,0
27226,38446,0
45250,20830,0
39724,8586,0
40129,43186,0
39284,9481,0
25171,21095,0
33649,44883,0
3384,57424,0
52548,58001,0
7053,15660,0
30442,18847,0
2233,43677,0
3120,3385,0
52623,12328,0
34522,18486,0
16037,11942,0
45192,39818,0
28324,7167,0
12357,25276,0
51591,51635,0
9481,5771,0
53601,16037,0
51364,2984,0
51556,25207,0
47361,13417,0
49327,39820,0
31110,10993,0
9612,7709,0
28325,11318,0
30059,28442,0
10374,29937,0
40560,49551,0
43652,53943,0
40430,58267,0
8207,45913,0
7003,9231,0
25218,45113,0
4987,8737,0
7187,33206,0
12357,45199,0
9778,8759,0
21095,48525,0
36900,11917,0
43681,18181,0
16327,31844,0
18793,24269,0
19261,37143,0
27668,11342,0
48383,58372,0
25325,31130,0
36798,58425,0
38998,51506,0
19612,57940,0
47399,3577,0
31126,46420,0
22882,16510,0
16781,29184,0
37435,46271,0
7164,48086,0
12965,29456,0
14101,15864,0
10488,25272,0
41996,50736,0
28448,34599,0
19581,8519,0
48085,57072,0
57056,11058,0
52754,30442,0
15660,36750,0
41355,58277,0
45199,12254,0
32762,5505,0
27743,48475,0
50956,16981,0
47142,6063,0
20154,9783,0
37509,43547,0
51918,29977,0
34167,6779,0
6724,26516,0
15475,40502,0
53679,6874,0
24199,48470,0
47112,31147,0
39821,5442,0
16760,51448,0
48085,30096,0
31097,35562,0
37532,15851,0
7707,52660,0
56674,2092,0
48084,32517,0
9260,24848,0
10585,12333,0
21521,41996,0
3073,17129,0
30410,27672,0
4108,4042,0
54662,41660,0
44944,7006,0
52766,58492,0
11050,37489,0
33734,54627,0
33147,20967,0
12754,20398,0
22573,44563,0
35648,15676,0
9901,51532,0
31148,34731,0
29738,14727,0
45250,54800,0
36687,2047,0
13460,20670,0
45000,31102,0
43503,24487,0
13122,12311,0
44924,28324,0
39816,25907,0
58003,46562,0
17047,29247,0
17129,27871,0
26088,56846,0
48525,53921,0
54512,40430,0
16239,34064,0
29920,48476,0
45027,33649,0
41660,4319,0
39384,58928,0
41660,51448,0
31129,47434,0
44544,9162,0
6066,48035,0
45263,17047,0
58184,23297,0
3364,45035,0
37155,26934,0
45578,20029,0
30043,58372,0
9019,4402,0
53287,26479,0
6512,13349,0
22011,3044,0
21583,40308,0
36742,30000,0
7164,23451,0
7801,27061,0
25492,41355,0
4319,21934,0
50951,57261,0
35554,9658,0
45578,44244,0
26725,6405,0
23900,41752,0
3991,47418,0
39821,27000,0
5068,18493,0
19465,46546,0
33493,54829,0
37472,4447,0
9187,57236,0
17613,37315,0
47118,43677,0
15967,57507,0
21484,15864,0
48388,15296,0
11243,51465,0
11520,56678,0
46739,49551,0
48475,12751,0
43680,22395,0
54812,12292,0
4359,58425,0
43652,31271,0
50963,6400,0
57424,13350,0
3384,11332,0
40549,30412,0
48486,3943,0
54679,52131,0
27892,11332,0
44883,54972,0
24050,42258,0
59966,11308,0
4371,17165,0
13755,15676,0
38832,52622,0
57040,48386,0
6063,30059,0
48499,35166,0
2663,13350,0
32971,30096,0
38152,43545,0
15071,57044,0
39961,15562,0
3577,31611,0
22384,34578,0
6130,39724,0
39823,30442,0
48382,15889,0
18670,25622,0
49646,7186,0
22171,26057,0
40552,32395,0
12849,3779,0
37197,37435,0
42256,56681,0
48466,42256,0
31101,41141,0
19853,47218,0
32517,28928,0
44585,26707,0
33280,31639,0
38998,16115,0
58501,45264,0
44563,41346,0
46546,46972,0
13283,22330,0
17165,18169,0
16567,11211,0
51506,9212,0
11292,31821,0
38835,22894,0
14053,51370,0
20963,50942,0
29497,34566,0
22882,48485,0
31586,47217,0
21095,7817,0
10488,36505,0
39386,34314,0
58503,25261,0
31352,41859,0
23665,39285,0
51623,29242,0
42837,5288,0
51356,57058,0
10194,51430,0
4984,51498,0
14896,40671,0
43677,33655,0
46896,40553,0
20487,27868,0
39737,34095,0
40352,27668,0
42175,54409,0
9616,33655,0
57049,3769,0
47175,20487,0
32576,40974,0
13060,36676,0
27392,17549,0
39816,21945,0
36590,11024,0
29277,4934,0
41008,42209,0
35880,48468,0
47295,31271,0
50698,17053,0
10585,44278,0
42216,29945,0
56674,37435,0
29322,35909,0
4209,40308,0
10377,16162,0
16506,5851,0
41140,16239,0
48473,41008,0
39003,42217,0
59323,42262,0
28325,37205,0
37856,22942,0
24789,46562,0
30183,37197,0
6129,59795,0
38637,52235,0
11331,9212,0
56852,4208,0
12751,37472,0
33280,3387,0
10377,54834,0
3387,35664,0
39384,59990,0
30411,44521,0
29519,54409,0
9462,26543,0
8234,11917,0
45926,51364,0
42394,15676,0
11058,11315,0
16765,7164,0
28811,5566,0
20613,37202,0
51635,37929,0
25612,22250,0
14123,50728,0
25162,16921,0
37532,10795,0
52622,54659,0
44553,5884,0
27392,13755,0
58271,22893,0
4190,29738,0
12629,27931,0
9254,34588,0
27936,28448,0
43515,9254,0
26426,17455,0
37532,17714,0
15857,4359,0
23051,47338,0
43570,9778,0
59227,9144,0
54017,8805,0
10105,9618,0
54392,35562,0
43498,15888,0
25338,33432,0
31849,38823,0
10374,37198,0
54670,36001,0
16327,45273,0
43509,37307,0
57505,2092,0
45146,16522,0
56852,9705,0
50736,51400,0
34570,54829,0
13122,3779,0
45296,16115,0
59896,18488,0
10871,16771,0
37723,9900,0
34314,10217,0
59984,37070,0
7193,3384,0
2092,9611,0
29918,48399,0
59236,40923,0
50734,53651,0
46530,32464,0
15190,54388,0
38446,32577,0
49844,59970,0
21095,10488,0
6059,41141,0
47294,12327,0
59996,43249,0
48386,16042,0
28821,58505,0
49962,34113,0
51657,16510,0
35592,33432,0
15367,11426,0
20918,47292,0
20353,26430,0
15475,29322,0
20967,6789,0
38846,40928,0
6063,32577,0
43291,45578,0
42858,53585,0
51596,54834,0
37746,38446,0
40923,31126,0
57261,3706,0
41140,4402,0
41565,51566,0
15853,27196,0
59986,2672,0
44539,47661,0
21481,41864,0
29988,3385,0
46546,3729,0
10698,33309,0
47724,10701,0
2820,40515,0
4974,16239,0
34113,35543,0
21521,54800,0
9064,9718,0
48035,4648,0
6130,2683,0
10488,37291,0
33660,46281,0
33246,47724,0
17266,53921,0
6320,16969,0
43514,16771,0
20029,43680,0
12884,44532,0
18493,10814,0
3583,54973,0
47298,48021,0
15562,2365,0
31046,57047,0
11328,23260,0
11672,48028,0
37272,6396,0
41784,9162,0
21945,20148,0
44523,48371,0
13735,43633,0
17549,18180,0
4983,8290,0
10105,2847,0
37322,54829,0
22576,25258,0
34871,17976,0
2091,47292,0
52557,6789,0
16191,41864,0
58503,23675,0
13966,10220,0
3520,31851,0
12005,59227,0
37141,56852,0
40405,14896,0
54512,35537,0
29158,35644,0
52162,45027,0
40138,33309,0
48469,21583,0
14648,15673,0
2062,42839,0
32336,41990,0
12183,22943,0
46987,32582,0
15660,37322,0
15693,18847,0
28550,26516,0
39780,44824,0
9420,34113,0
26546,24625,0
42858,9659,0
11520,32374,0
9612,59985,0
34598,37984,0
6407,22611,0
10811,7817,0
15868,16522,0
37984,10194,0
21552,40306,0
11332,13973,0
26546,11179,0
47298,45926,0
27015,15000,0
11243,13232,0
46987,35643,0
3706,34588,0
10810,35699,0
41876,40517,0
10374,14812,0
16760,48483,0
51401,9162,0
59980,45151,0
47178,39386,0
54040,44687,0
29167,31586,0
9901,48467,0
12847,10701,0
47179,43681,0
2984,11196,0
3044,11353,0
53684,38605,0
49879,40405,0
10814,50728,0
3779,58493,0
19400,27021,0
52148,27936,0
18793,7164,0
51448,44979,0
43510,22356,0
22891,25288,0
51563,11024,0
9616,51351,0
25966,14896,0
19789,43194,0
25333,23297,0
3583,22611,0
37929,10499,0
24561,43085,0
31236,51638,0
37746,51660,0
29411,40430,0
27392,53943,0
50756,21521,0
3792,18754,0
5884,16973,0
37200,28430,0
46342,58494,0
31129,35554,0
53941,51584,0
20353,16981,0
3577,31129,0
19735,11136,0
47794,37266,0
28804,52148,0
43510,13350,0
2697,33493,0
5288,39067,0
51638,32768,0
9481,28821,0
2802,10230,0
37198,40923,0
41359,4843,0
59981,34083,0
51654,50948,0
44560,2365,0
15296,37295,0
7330,48469,0
26246,46308,0
29519,7709,0
43277,41458,0
44560,12847,0
35648,15296,0
10185,47175,0
26050,36901,0
44979,9664,0
10317,52623,0
9659,45264,0
16042,12837,0
37532,5068,0
43334,33955,0
33967,5874,0
15933,17179,0
3729,6130,0
48371,38444,0
25261,51465,0
47377,39235,0
47655,6611,0
51430,15851,0
47794,41355,0
39284,18180,0
31677,50776,0
37480,42859,0
37079,48086,0
51517,46385,0
47175,4398,0
42936,4628,0
51482,36900,0
29519,18754,0
7164,16567,0
41867,2154,0
49567,4190,0
9901,35916,0
19825,47292,0
52660,29446,0
25966,44520,0
59974,58809,0
34885,31099,0
53997,3991,0
29184,35523,0
54627,32378,0
34559,43204,0
51498,35504,0
12327,35543,0
22385,40138,0
31273,47399,0
3836,31127,0
14123,5974,0
9664,36536,0
56828,11917,0
18493,48187,0
23186,46385,0
31849,51502,0
15693,10377,0
33688,38605,0
47689,4715,0
48525,31097,0
31352,34314,0
18493,18847,0
3836,31851,0
11196,40412,0
43333,15068,0
11342,38832,0
7817,24487,0
31653,17051,0
39028,21583,0
57057,43498,0
54665,43485,0
33308,39821,0
10105,33393,0
35558,18754,0
49516,46903,0
9454,20393,0
48383,36769,0
58501,7330,0
6996,39382,0
41875,54974,0
41786,4251,0
47434,18497,0
25272,32576,0
12328,22942,0
42933,40923,0
40522,52235,0
52766,31639,0
2162,44586,0
41752,32576,0
34731,59222,0
20393,41752,0
37295,47650,0
17714,15562,0
50720,12338,0
25333,7179,0
12012,28844,0
5987,3120,0
47096,52124,0
9618,38501,0
24476,11404,0
43204,46893,0
4933,16034,0
12758,2697,0
57041,40560,0
27887,42839,0
9101,19400,0
40267,20387,0
58494,40267,0
31102,27019,0
29239,32768,0
9231,1762,0
36750,11320,0
29166,51356,0
59795,30013,0
31097,44924,0
25261,38803,0
4987,51400,0
2847,11235,0
16042,57047,0
31110,52816,0
29729,32576,0
29497,14125,0
2711,10445,0
48086,10194,0
45027,57236,0
47224,10465,0
38786,47289,0
20670,37929,0
7707,3713,0
48525,11332,0
52548,40517,0
54677,27392,0
27938,48467,0
56828,23260,0
45151,58503,0
51354,27561,0
18493,4042,0
8290,33734,0
45035,44563,0
9455,37435,0
6893,25208,0
7447,34167,0
33900,52548,0
30043,26430,0
13735,28439,0
29519,4983,0
10223,17961,0
18618,21524,0
50951,44883,0
41010,57230,0
41752,25296,0
48478,56324,0
25966,41660,0
41774,26546,0
37929,35592,0
41141,12961,0
22487,17131,0
57040,39740,0
8737,59236,0
20353,50431,0
23280,22171,0
44824,29738,0
10105,48386,0
11354,24911,0
9612,2220,0
18793,18897,0
45011,11342,0
45925,48086,0
19735,13672,0
